family_stem,variable_name,label,n_years,years_range,label_drift
coptimism,coptimism_true,Optimism - % 'Pretty much true' or 'Very much true',1,2020-2021..2020-2021,False
core,core,Data on any items in Core Module,11,2013-2014..2023-2024,False
core_hybrid,core_hybrid,Students taking the Hybrid Core (online data),1,2020-2021..2020-2021,False
core_inschool,core_inschool,Students taking the In-School Core (online data),1,2020-2021..2020-2021,False
core_remote,core_remote,Students taking the Remote Core (online data),1,2020-2021..2020-2021,False
coreused,coreused,(unlabeled),1,2010-2011..2010-2011,False
county,county,County name,13,2011-2012..2023-2024,True
cpsolve,cpsolve_true,Problem solving - % 'Pretty much true' or 'Very much true',1,2020-2021..2020-2021,False
cpsuprt,cpsuprt_true,Peer supports - % 'Pretty much true' or 'Very much true',1,2020-2021..2020-2021,False
cs1,cs1,cs1. My school offers electives that I am interested in taking. - How strongly d,1,2023-2024..2023-2024,False
cs10,cs10,cs10. My teachers work hard to help me with my schoolwork when I need it. - How,1,2023-2024..2023-2024,False
cs11,cs11,cs11. Teachers show how classroom lessons are helpful to students in real life.,1,2023-2024..2023-2024,False
cs12,cs12,cs12. Teachers give students a chance to take part in classroom discussions or a,1,2023-2024..2023-2024,False
cs13,cs13,cs13. Teachers go out of their way to help students. - How strongly do you agree,1,2023-2024..2023-2024,False
cs14,cs14,cs14. Teachers help students catch up when they return from an absence.  - How s,1,2023-2024..2023-2024,False
cs15,cs15,cs15. My teachers give me useful feedback on my work. - How strongly do you agre,1,2023-2024..2023-2024,False
cs16,cs16,cs16. Challenges related to bullying and harassment. - I know where to go or who,1,2023-2024..2023-2024,False
cs17,cs17,cs17. College and career planning. - I know where to go or who to contact at sch,1,2023-2024..2023-2024,False
cs18,cs18,"cs18. Counseling to help me with stress, feeling sad, family issues, alcohol, or",1,2023-2024..2023-2024,False
cs19,cs19,cs19. Dental care. - I know where to go or who to contact at school for help wit,1,2023-2024..2023-2024,False
cs2,cs2,cs2. My school offers before and after school activities that I am interested in,1,2023-2024..2023-2024,False
cs20,cs20,cs20. Distance learning supports when I have to do schoolwork from home. - I kno,1,2023-2024..2023-2024,False
cs21,cs21,cs21. Emergency assistance. - I know where to go or who to contact at school for,1,2023-2024..2023-2024,False
cs22,cs22,cs22. Accessing food. - I know where to go or who to contact at school for help,1,2023-2024..2023-2024,False
cs23,cs23,cs23. Language supports. - I know where to go or who to contact at school for he,1,2023-2024..2023-2024,False
cs24,cs24,cs24. LGBTQ supports. - I know where to go or who to contact at school for help,1,2023-2024..2023-2024,False
cs25,cs25,cs25. Medical care when I am sick or need a checkup. - I know where to go or who,1,2023-2024..2023-2024,False
cs26,cs26,cs26. Selecting classes for the current or next school year. - I know where to g,1,2023-2024..2023-2024,False
cs27,cs27,cs27. Tutoring services. - I know where to go or who to contact at school for he,1,2023-2024..2023-2024,False
cs28,cs28,cs28. I participate in making decisions with adults at school about how to creat,1,2023-2024..2023-2024,False
cs29,cs29,cs29. Students feel like they can express their ideas to adults at my school on,1,2023-2024..2023-2024,False
cs3,cs3,cs3. My school offers summer activities that I am interested in participating in,1,2023-2024..2023-2024,False
cs30,cs30,cs30. Adults at my school take students' ideas for school improvement seriously.,1,2023-2024..2023-2024,False
cs31,cs31,cs31. Students in/from this school respect each other's differences. - How stron,1,2023-2024..2023-2024,False
cs32,cs32,cs32. Adults/teachers in this school respect differences in students. - How stro,1,2023-2024..2023-2024,False
cs33,cs33,cs33. Teachers show that they think it is important for students of different ra,1,2023-2024..2023-2024,False
cs34,cs34,"cs34. I have been disrespected by an adult at this school because of my race, et",1,2023-2024..2023-2024,False
cs35,cs35,cs35. There is a lot of tension in this school between people of different cultu,1,2023-2024..2023-2024,False
cs4,cs4,"cs4. During class time, I engage in activities with organizations from my commun",1,2023-2024..2023-2024,False
cs5,cs5,cs5. The books and lessons used in my classes include examples of people from di,1,2023-2024..2023-2024,False
cs6,cs6,cs6. The books and lessons used in my classes include examples of people from di,1,2023-2024..2023-2024,False
cs7,cs7,cs7. My school brings in local community leaders and residents to talk to studen,1,2023-2024..2023-2024,False
cs8,cs8,cs8. My parents/guardians know how to support me at school. - How strongly do yo,1,2023-2024..2023-2024,False
cs9,cs9,cs9. Adults at this school encourage me to work hard so I can be successful in c,1,2023-2024..2023-2024,False
cssreg,cssreg,california student survey regions,2,2010-2011..2012-2013,True
ctag1,ctag1,ctag1. Teachers and other adults at this school treat all students with respect.,11,2013-2014..2023-2024,False
ctag10,ctag10,ctag10. The schoolyard and buildings are clean and in good condition.,11,2013-2014..2023-2024,False
ctag2,ctag2,ctag2. Teachers and other adults encourage me to work hard in school so I can be,11,2013-2014..2023-2024,False
ctag3,ctag3,ctag3. The teachers and other adults work hard to help me with my schoolwork whe,11,2013-2014..2023-2024,False
ctag4,ctag4,ctag4. Teachers show how classroom lessons are important and helpful to me in re,11,2013-2014..2023-2024,False
ctag5,ctag5,ctag5. Teachers give me a chance to take part in classroom discussions or activi,11,2013-2014..2023-2024,False
ctag6,ctag6,ctag6. The books and lessons in my classes include examples of my race or ethnic,11,2013-2014..2023-2024,False
ctag7,ctag7,ctag7. All students are treated fairly when they break school rules.,11,2013-2014..2023-2024,False
ctag8,ctag8,ctag8. I have been disrespected or mistreated by an adult at this school because,11,2013-2014..2023-2024,False
ctag9,ctag9,"ctag9. There is a lot of tension in this school between different cultures, race",11,2013-2014..2023-2024,False
custgender1,custgender1,custgender1. What is your sex?,1,2019-2020..2019-2020,False
custgender2,custgender2,custgender2. What is your gender?,1,2019-2020..2019-2020,False
custom,custom,Custom module,2,2013-2014..2014-2015,False
cw1,cw1,cw1. I have an adult at my school that I can talk to about my problems.,8,2015-2016..2022-2023,True
cw10,cw10,"cw10. In the past month, how often did you feel very lonely?",8,2015-2016..2022-2023,True
cw11,cw11,"cw11. If you were feeling very sad, stressed, lonely or depressed, would you...",8,2015-2016..2022-2023,True
cw11,cw11c,"cw11c. Get help from a counselor or therapist - If you were feeling very sad, st",3,2020-2021..2022-2023,False
cw11a,cw11a,cw11a. Talk to a teacher or another adult from your school - If you were feeling,3,2020-2021..2022-2023,False
cw11b,cw11b,cw11b. Talk to your parents or someone else in your family - If you were feeling,3,2020-2021..2022-2023,False
cw11d,cw11d,"cw11d. Talk to your friends - If you were feeling very sad, stressed, lonely or",3,2020-2021..2022-2023,False
cw11e,cw11e,"cw11e. Be afraid to get help - If you were feeling very sad, stressed, lonely or",3,2020-2021..2022-2023,False
cw11f,cw11f,"cw11f. Not know what to do - If you were feeling very sad, stressed, lonely or d",3,2020-2021..2022-2023,False
cw12,cw12,"cw12. In the past year, did you want to talk to a counselor or therapist about f",8,2015-2016..2022-2023,True
cw13,cw13,"cw13. In the past year, did you get help from a counselor or therapist when you",8,2015-2016..2022-2023,True
cw14,cw14,"cw14. In the past year, where did you get help from a counselor or therapist? (m",8,2015-2016..2022-2023,True
cw14,cw14c,"cw14c. From a counselor or therapist not from my school (in person, by phone or",3,2020-2021..2022-2023,False
cw14a,cw14a,"cw14a. Nowhere - In the past year, where did you get help from a counselor or th",3,2020-2021..2022-2023,False
cw14b,cw14b,"cw14b. At school (in person, by phone or online) - In the past year, where did y",3,2020-2021..2022-2023,False
cw14d,cw14d,"cw14d. Somewhere else - In the past year, where did you get help from a counselo",3,2020-2021..2022-2023,False
cw14e,cw14e,"cw14e. I don't know - In the past year, where did you get help from a counselor",3,2020-2021..2022-2023,False
cw15,cw15,"cw15. In the past year, did an adult at school refer or connect you to a counsel",8,2015-2016..2022-2023,True
cw16,cw16,"cw16. If you were very sad, stressed, lonely or depressed, would any of these th",8,2015-2016..2022-2023,True
cw16,cw16c,"cw16c. They wouldn't understand - If you were very sad, stressed, lonely or depr",5,2018-2019..2022-2023,True
cw16a,cw16a,"cw16a. You don't know where to go for help - If you were very sad, stressed, lon",5,2018-2019..2022-2023,True
cw16b,cw16b,"cw16b. There isn't anyone you can talk to - If you were very sad, stressed, lone",5,2018-2019..2022-2023,True
cw16d,cw16d,cw16d. People would think there's something wrong with you - If you were very sa,5,2018-2019..2022-2023,True
cw16e,cw16e,"cw16e. Your parents might find out - If you were very sad, stressed, lonely or d",5,2018-2019..2022-2023,True
cw16f,cw16f,"cw16f. Other students might find out - If you were very sad, stressed, lonely or",5,2018-2019..2022-2023,True
cw16g,cw16g,"cw16g. You don't have a way to pay for it - If you were very sad, stressed, lone",5,2018-2019..2022-2023,True
cw16h,cw16h,cw16h. You don't want to talk to a counselor or therapist - If you were very sad,5,2018-2019..2022-2023,True
cw16i,cw16i,"cw16i. Other reasons - If you were very sad, stressed, lonely or depressed, woul",5,2018-2019..2022-2023,True
cw16j,cw16j,"cw16j. Does not apply, none of these things would stop me from talking to a coun",3,2020-2021..2022-2023,False
cw17,cw17,cw17. I usually expect to have a good day.,3,2015-2016..2017-2018,False
cw18,cw18,"cw18. If a friend of mine felt sad, stressed, or depressed, I would... (Mark all",3,2015-2016..2017-2018,False
cw18,cw18c,cw18c. Tell them to talk to a teacher or another adult at school - If a friend o,3,2015-2016..2017-2018,False
cw18a,cw18a,"cw18a. Offer my support - If a friend of mine felt sad, stressed, or depressed,",3,2015-2016..2017-2018,False
cw18b,cw18b,cw18b. Listen to them without judging or criticizing - If a friend of mine felt,3,2015-2016..2017-2018,False
cw18d,cw18d,cw18d. Tell them to talk to a parent or someone else in their family - If a frie,3,2015-2016..2017-2018,False
cw18e,cw18e,"cw18e. Tell them to get help from a counselor, doctor, or therapist - If a frien",3,2015-2016..2017-2018,False
cw18f,cw18f,cw18f. Try not to talk to them until they got better - If a friend of mine felt,3,2015-2016..2017-2018,False
cw18g,cw18g,"cw18g. Not know what to do - If a friend of mine felt sad, stressed, or depresse",3,2015-2016..2017-2018,False
cw19,cw19,"cw19. If I felt sad, stressed, or depressed, I would... (Mark all that apply.)",3,2015-2016..2017-2018,False
cw19,cw19c,"cw19c. Get help from a counselor, doctor or therapist - If I felt sad, stressed,",3,2015-2016..2017-2018,False
cw19a,cw19a,"cw19a. Talk to a teacher or another adult at school - If I felt sad, stressed, o",3,2015-2016..2017-2018,False
cw19b,cw19b,"cw19b. Talk to my parents or someone else in my family - If I felt sad, stressed",3,2015-2016..2017-2018,False
cw19d,cw19d,"cw19d. Talk to my friends - If I felt sad, stressed, or depressed, I would... (M",3,2015-2016..2017-2018,False
cw19e,cw19e,"cw19e. Not know what to do - If I felt sad, stressed, or depressed, I would... (",3,2015-2016..2017-2018,False
cw2,cw2,"cw2. I know where to go or who to contact at school for help when I am very sad,",8,2015-2016..2022-2023,True
cw20,cw20,cw20. Talking to an adult could help them feel better.,3,2015-2016..2017-2018,False
cw21,cw21,cw21. Kids at my school would be nice to them.,3,2015-2016..2017-2018,False
cw22,cw22,cw22. I would be afraid to ask for help.,3,2015-2016..2017-2018,False
cw23,cw23,cw23. I would feel bad about myself if I made the choice to get help.,3,2015-2016..2017-2018,False
cw24,cw24,"cw24. In the past year, did you want to talk to an adult professional about feel",3,2015-2016..2017-2018,False
cw25,cw25,"cw25. In the past year, how often did you get help from an adult professional wh",3,2015-2016..2017-2018,False
cw26,cw26,"cw26. If you were sad, stressed, or depressed, would any of these things stop yo",3,2015-2016..2017-2018,False
cw26,cw26c,"cw26c. They wouldn't understand - If you were sad, stressed, or depressed, would",3,2015-2016..2017-2018,False
cw26a,cw26a,"cw26a. I don't know where to go for help - If you were sad, stressed, or depress",3,2015-2016..2017-2018,False
cw26b,cw26b,"cw26b. There isn't anyone I can talk to - If you were sad, stressed, or depresse",3,2015-2016..2017-2018,False
cw26d,cw26d,"cw26d. People would think there's something wrong with me - If you were sad, str",3,2015-2016..2017-2018,False
cw26e,cw26e,"cw26e. My parents might find out - If you were sad, stressed, or depressed, woul",3,2015-2016..2017-2018,False
cw26f,cw26f,"cw26f. Other students might find out - If you were sad, stressed, or depressed,",3,2015-2016..2017-2018,False
cw26g,cw26g,"cw26g. I don't have a way to pay for it - If you were sad, stressed, or depresse",3,2015-2016..2017-2018,False
cw26h,cw26h,"cw26h. Other - If you were sad, stressed, or depressed, would any of these thing",3,2015-2016..2017-2018,False
cw3,cw3,cw3. Mental health is an important issue for people my age.,8,2015-2016..2022-2023,True
cw4,cw4,cw4. People at my school talk openly about mental health.,8,2015-2016..2022-2023,True
cw5,cw5,cw5. My school encourages students to take care of their mental health.,8,2015-2016..2022-2023,True
cw6,cw6,cw6. Talking to an adult could help them feel better. - If someone my age felt v,8,2015-2016..2022-2023,True
cw6,cw6c,"cw6c. Get help from a counselor, doctor, or therapist - If I was having a hard t",2,2018-2019..2019-2020,True
cw6a,cw6a,cw6a. Talk to a teacher or another adult at school - If I was having a hard time,2,2018-2019..2019-2020,False
cw6b,cw6b,cw6b. Talk to my parents or someone else in my family - If I was having a hard t,2,2018-2019..2019-2020,False
cw6d,cw6d,"cw6d. Talk to my friends - If I was having a hard time and feeling sad, stressed",2,2018-2019..2019-2020,False
cw6e,cw6e,"cw6e. Not know what to do - If I was having a hard time and feeling sad, stresse",2,2018-2019..2019-2020,False
cw7,cw7,"cw7. Kids at my school would be nice to them. - If someone my age felt very sad,",8,2015-2016..2022-2023,True
cw8,cw8,"cw8. Talking to an adult could help me feel better. - If I was very sad, stresse",8,2015-2016..2022-2023,True
cw9,cw9,"cw9. Kids at my school would be nice to me. - If I was very sad, stressed, lonel",8,2015-2016..2022-2023,True
cwaware,cwaware,Self awareness (Cal-Well),2,2016-2017..2017-2018,False
cwaware,cwaware_vmtrue,Self awareness - % reporting 'Very much true' (Cal-Well),1,2017-2018..2017-2018,False
cwaware,cwawarec,Self awareness category (Cal-Well),2,2016-2017..2017-2018,False
cwempathy,cwempathy,Empathy (Cal-Well),2,2016-2017..2017-2018,True
cwempathy,cwempathy_vmtrue,Empathy - % reporting 'Very much true' (Cal-Well),1,2017-2018..2017-2018,False
cwempathy,cwempathyc,Empathy category (Cal-Well),2,2016-2017..2017-2018,False
cwpcare,cwpcare,Peer caring relationships (Cal-Well module),2,2016-2017..2017-2018,False
cwpcare,cwpcare_vmtrue,Peer caring relationships - % reporting 'Very much true' (Cal-Well),1,2017-2018..2017-2018,False
cwpcare,cwpcarec,Peer caring relationships (Cal-Well),2,2016-2017..2017-2018,False
d1,d1,d1. Have you ever vaped tobacco or nicotine?,14,2010-2011..2023-2024,True
d10,d10,d10. Would you like to quit vaping?,14,2010-2011..2023-2024,True
d11,d11,d11. How likely are you to try to quit vaping?,14,2010-2011..2023-2024,True
d11_rp,d11_rp,d11_rp. Repeating d11,1,2013-2014..2013-2014,False
d12,d12,d12. How much control do you have over whether you quit vaping?,14,2010-2011..2023-2024,True
d12_rp,d12_rp,d12_rp. Repeating d12,1,2013-2014..2013-2014,False
d13,d13,d13. How hard would it be for you to refuse or say 'no' to a friend who offered,14,2010-2011..2023-2024,True
d13_rp,d13_rp,d13_rp. Repeating d13,1,2013-2014..2013-2014,False
d14,d14,d14. How likely do you think it is that you will vape at least one time in the n,14,2010-2011..2023-2024,True
d15,d15,d15. Think about a group of 100 students (about three classrooms) in your grade.,14,2010-2011..2023-2024,True
d16,d16,d16. How do you feel about someone your age vaping nicotine or tobacco multiple,14,2010-2011..2023-2024,True
d17,d17,d17. How do you think your close friends would feel about you vaping nicotine or,14,2010-2011..2023-2024,True
d18,d18,d18. Have you ever smoked cigarettes?,14,2010-2011..2023-2024,True
d19,d19,d19. How old were you when you first tried cigarettes?,14,2010-2011..2023-2024,True
d1_rp,d1_rp,d1_rp. Repeating d1,1,2013-2014..2013-2014,False
d2,d2,d2. How old were you when you first tried vaping?,14,2010-2011..2023-2024,True
d20,d20,d20. Have you smoked cigarettes in the past 30 days?,14,2010-2011..2023-2024,True
d21,d21,d21. Why do you currently smoke cigarettes? (Mark all that apply.),14,2010-2011..2023-2024,True
d21,d21c,"d21c. They are easier to get than other tobacco products, such as vapes - Why do",1,2023-2024..2023-2024,False
d21a,d21a,d21a. To fit in/peer pressure - Why do you currently smoke cigarettes? (Mark all,1,2023-2024..2023-2024,False
d21b,d21b,d21b. A family member smokes them - Why do you currently smoke cigarettes? (Mark,1,2023-2024..2023-2024,False
d21d,d21d,"d21d. They cost less than other tobacco products, such as vapes - Why do you cur",1,2023-2024..2023-2024,False
d21e,d21e,"d21e. They are less harmful than other forms of tobacco, such as vapes - Why do",1,2023-2024..2023-2024,False
d21f,d21f,d21f. They are available in flavors I like - Why do you currently smoke cigarett,1,2023-2024..2023-2024,False
d21g,d21g,d21g. It looks cool - Why do you currently smoke cigarettes? (Mark all that appl,1,2023-2024..2023-2024,False
d21h,d21h,d21h. To relax or relieve stress or anxiety - Why do you currently smoke cigaret,1,2023-2024..2023-2024,False
d21i,d21i,d21i. To focus or concentrate - Why do you currently smoke cigarettes? (Mark all,1,2023-2024..2023-2024,False
d21j,d21j,d21j. For the nicotine buzz - Why do you currently smoke cigarettes? (Mark all t,1,2023-2024..2023-2024,False
d21k,d21k,d21k. Because I am 'hooked' - Why do you currently smoke cigarettes? (Mark all t,1,2023-2024..2023-2024,False
d21l,d21l,d21l. To control my weight - Why do you currently smoke cigarettes? (Mark all th,1,2023-2024..2023-2024,False
d21m,d21m,d21m. For some other reason - Why do you currently smoke cigarettes? (Mark all t,1,2023-2024..2023-2024,False
d22,d22,d22. How do you usually get your cigarettes?,14,2010-2011..2023-2024,True
d23,d23,d23. Where do you usually buy your cigarettes?,14,2010-2011..2023-2024,True
d24,d24,d24. Have you ever purchased cigarettes (or one cigarette) from someone at schoo,14,2010-2011..2023-2024,True
d25,d25,"d25. Compared to one year ago, are you now smoking cigarettes more, about the sa",11,2013-2014..2023-2024,True
d26,d26,d26. Would you like to quit smoking cigarettes?,11,2013-2014..2023-2024,True
d27,d27,d27. How likely are you to quit smoking cigarettes?,11,2013-2014..2023-2024,True
d28,d28,d28. How much control do you have over whether you quit smoking cigarettes?,11,2013-2014..2023-2024,True
d29,d29,d29. How hard would it be for you to refuse or say 'no' to a friend who offered,11,2013-2014..2023-2024,True
d3,d3,d3. - Why did you first use vapes? (Mark all that apply.),14,2010-2011..2023-2024,True
d3,d3c,"d3c. To try to quit using other tobacco products, such as cigarettes - Why did y",1,2023-2024..2023-2024,False
d30,d30,d30. How likely do you think it is that you will smoke one or more cigarettes in,11,2013-2014..2023-2024,True
d31,d31,d31. About how many students do you think smoke cigarettes at least once a month,8,2016-2017..2023-2024,True
d32,d32,d32. How do you feel about someone your age smoking one or more packs of cigaret,6,2018-2019..2023-2024,True
d32,d32c,d32c. Marijuana or THC - Have you ever used a vaping device or e-cigarette to co,5,2018-2019..2022-2023,True
d32a,d32a,d32a. I've never used a vaping device or e-cigarette. - Have you ever used a vap,5,2018-2019..2022-2023,True
d32b,d32b,d32b. Nicotine or tobacco substitute - Have you ever used a vaping device or e-c,5,2018-2019..2022-2023,True
d32d,d32d,"d32d. Amphetamines, cocaine, or heroin - Have you ever used a vaping device or e",5,2018-2019..2022-2023,True
d32e,d32e,"d32e. A flavored product without nicotine, alcohol, or other drug - Have you eve",5,2018-2019..2022-2023,True
d32f,d32f,d32f. Any other product or substance - Have you ever used a vaping device or e-c,5,2018-2019..2022-2023,True
d32g,d32g,d32g. I was not sure what was in the vaping device or e-cigarette - Have you eve,5,2018-2019..2022-2023,True
d33,d33,d33. How do you think your close friends would feel about you smoking one or mor,1,2023-2024..2023-2024,False
d34,d34,d34. Have lessons about tobacco and its effects on the body - During the past 12,1,2023-2024..2023-2024,False
d35,d35,d35. Practice different ways to refuse or say 'no' to tobacco offers - During th,1,2023-2024..2023-2024,False
d36,d36,"d36. During the past 12 months, have you talked with at least one of your parent",1,2023-2024..2023-2024,False
d37,d37,"d37. Go to a special group or class - In the past 12 months, did you do any of t",1,2023-2024..2023-2024,False
d38,d38,"d38. Talk to an adult at your school about how to quit - In the past 12 months,",1,2023-2024..2023-2024,False
d39,d39,"d39. Talk to a peer helper about how to quit - In the past 12 months, did you do",1,2023-2024..2023-2024,False
d3a,d3a,d3a. To fit in/peer pressure - Why did you first use vapes? (Mark all that apply,1,2023-2024..2023-2024,False
d3b,d3b,d3b. A family member used them - Why did you first use vapes? (Mark all that app,1,2023-2024..2023-2024,False
d3d,d3d,"d3d. They cost less than other tobacco products, such as cigarettes - Why did yo",1,2023-2024..2023-2024,False
d3e,d3e,"d3e. They were easier to get than other tobacco products, such as cigarettes - W",1,2023-2024..2023-2024,False
d3f,d3f,"d3f. They are less harmful than other forms of tobacco, such as cigarettes - Why",1,2023-2024..2023-2024,False
d3g,d3g,d3g. They were available in flavors I like - Why did you first use vapes? (Mark,1,2023-2024..2023-2024,False
d3h,d3h,d3h. I could use them unnoticed at home or at school - Why did you first use vap,1,2023-2024..2023-2024,False
d3i,d3i,d3i. It looks cool - Why did you first use vapes? (Mark all that apply.),1,2023-2024..2023-2024,False
d3j,d3j,d3j. I was curious about them - Why did you first use vapes? (Mark all that appl,1,2023-2024..2023-2024,False
d3k,d3k,d3k. To relax or relieve stress or anxiety - Why did you first use vapes? (Mark,1,2023-2024..2023-2024,False
d3l,d3l,d3l. For the nicotine buzz - Why did you first use vapes? (Mark all that apply.),1,2023-2024..2023-2024,False
d3m,d3m,d3m. To control my weight - Why did you first use vapes? (Mark all that apply.),1,2023-2024..2023-2024,False
d3n,d3n,d3n. For some other reason - Why did you first use vapes? (Mark all that apply.),1,2023-2024..2023-2024,False
d4,d4,d4. Have you vaped tobacco or nicotine in the past 30 days?,14,2010-2011..2023-2024,True
d5,d5,d5. Why do you currently use vapes? (Mark all that apply.),14,2010-2011..2023-2024,True
d5,d5c,"d5c. To try to quit using other tobacco products, such as cigarettes - Why do yo",1,2023-2024..2023-2024,False
d5a,d5a,d5a. To fit in/peer pressure - Why do you currently use vapes? (Mark all that ap,1,2023-2024..2023-2024,False
d5b,d5b,d5b. A family member used them - Why do you currently use vapes? (Mark all that,1,2023-2024..2023-2024,False
d5d,d5d,"d5d. They cost less than other tobacco products, such as cigarettes - Why do you",1,2023-2024..2023-2024,False
d5e,d5e,"d5e. They are easier to get than other tobacco products, such as cigarettes - Wh",1,2023-2024..2023-2024,False
d5f,d5f,"d5f. They are less harmful than other forms of tobacco, such as cigarettes - Why",1,2023-2024..2023-2024,False
d5g,d5g,d5g. They are available in flavors I like - Why do you currently use vapes? (Mar,1,2023-2024..2023-2024,False
d5h,d5h,d5h. I can use them unnoticed at home or at school - Why do you currently use va,1,2023-2024..2023-2024,False
d5i,d5i,d5i. It looks cool - Why do you currently use vapes? (Mark all that apply.),1,2023-2024..2023-2024,False
d5j,d5j,d5j. To relax or relieve stress or anxiety - Why do you currently use vapes? (Ma,1,2023-2024..2023-2024,False
d5k,d5k,d5k. To focus or concentrate - Why do you currently use vapes? (Mark all that ap,1,2023-2024..2023-2024,False
d5l,d5l,d5l. For the nicotine buzz - Why do you currently use vapes? (Mark all that appl,1,2023-2024..2023-2024,False
d5m,d5m,d5m. Because I am 'hooked' - Why do you currently use vapes? (Mark all that appl,1,2023-2024..2023-2024,False
d5n,d5n,d5n. To control my weight - Why do you currently use vapes? (Mark all that apply,1,2023-2024..2023-2024,False
d5o,d5o,d5o. For some other reason - Why do you currently use vapes? (Mark all that appl,1,2023-2024..2023-2024,False
d6,d6,d6. How do you usually get your vapes (or pods or e-liquid)?,14,2010-2011..2023-2024,True
d7,d7,d7. Where do you usually buy your vapes (or pods or e-liquid)?,14,2010-2011..2023-2024,True
d8,d8,"d8. Have you ever purchased a vaping device (including disposable devices), pod,",14,2010-2011..2023-2024,True
d9,d9,"d9. Compared to one year ago, are you now vaping more, about the same, or less t",14,2010-2011..2023-2024,True
d9_rp,d9_rp,d9_rp. Repeating d9,1,2013-2014..2013-2014,False
dasm,dasm,(unlabeled),1,2010-2011..2010-2011,False
dasm1,dasm1,dasm1. How safe do you feel in the neighborhood where you live?,11,2013-2014..2023-2024,False
dasm2,dasm2,dasm2. Where do you usually go right after school is over?,11,2013-2014..2023-2024,False
dasm3,dasm3,dasm3. What do you usually do after school is over? (Mark all that apply),11,2013-2014..2023-2024,False
dasm3,dasm3c,"dasm3c. Take private classes or lessons such as art, music, or dance - What do y",11,2013-2014..2023-2024,False
dasm3a,dasm3a,dasm3a. Do your schoolwork (homework or studying) - What do you usually do after,11,2013-2014..2023-2024,False
dasm3b,dasm3b,dasm3b. Get help with your schoolwork from an adult (such as a tutor) - What do,11,2013-2014..2023-2024,False
dasm3d,dasm3d,dasm3d. Play or practice a sport - What do you usually do after school is over?,11,2013-2014..2023-2024,False
dasm3e,dasm3e,"dasm3e. Hang out with friends (talking, playing games, going to the mall or a mo",11,2013-2014..2023-2024,False
dasm3f,dasm3f,dasm3f. Watch TV or play video games - What do you usually do after school is ov,11,2013-2014..2023-2024,False
dasm3g,dasm3g,dasm3g. Do religious activities or get religious instruction - What do you usual,11,2013-2014..2023-2024,False
dasm3h,dasm3h,dasm3h. Work at a job - What do you usually do after school is over?,11,2013-2014..2023-2024,False
dasm3i,dasm3i,dasm3i. Other - What do you usually do after school is over?,11,2013-2014..2023-2024,False
dasm4,dasm4,dasm4. Please mark whether you agree with each of the following statements. (Mar,11,2013-2014..2023-2024,False
dasm4,dasm4c,dasm4c. I wish my school had an afterschool program.,11,2013-2014..2023-2024,True
dasm4a,dasm4a,dasm4a. My school doesn't have an afterschool program.,11,2013-2014..2023-2024,True
dasm4b,dasm4b,dasm4b. I don't know if my school has an afterschool program.,11,2013-2014..2023-2024,True
dasm4d,dasm4d,dasm4d. I don't know much about the afterschool program.,11,2013-2014..2023-2024,True
dasm4e,dasm4e,dasm4e. It has activities that we usually don't have during the school day.,11,2013-2014..2023-2024,False
dasm4f,dasm4f,dasm4f. The afterschool program doesn't interest me.,11,2013-2014..2023-2024,True
dasm4g,dasm4g,dasm4g. It is a safe place to be after school.,11,2013-2014..2023-2024,False
dasm4h,dasm4h,dasm4h. It helps you with schoolwork.,11,2013-2014..2023-2024,False
dasm4i,dasm4i,dasm4i. The students that attend it really like it.,11,2013-2014..2023-2024,False
dasm4j,dasm4j,"dasm4j. I do not attend, but I would like to.",11,2013-2014..2023-2024,True
dasm5,dasm5,"dasm5. In a normal school week, how many days do you usually go to your school's",11,2013-2014..2023-2024,False
derbisol,derbisol,(unlabeled),1,2010-2011..2010-2011,False
derlate,derlate,(unlabeled),1,2010-2011..2010-2011,False
dfc1,dfc1,"dfc1. During the past 30 days, have you used prescription drugs not prescribed t",11,2013-2014..2023-2024,True
dfc10,dfc10,dfc10. Have one or two drinks of an alcoholic beverage nearly every day - How wr,5,2013-2014..2023-2024,True
dfc11,dfc11,dfc11. Smoke cigarettes - How wrong do your parents or guardians feel it would b,5,2013-2014..2023-2024,True
dfc12,dfc12,dfc12. Use marijuana - How wrong do your parents or guardians feel it would be f,5,2013-2014..2023-2024,True
dfc13,dfc13,dfc13. Use prescription drugs not prescribed to you - How wrong do your parents,4,2013-2014..2023-2024,True
dfc13_dfc7,dfc13_dfc7,dfc13_dfc7. How do most kids at your school who drink alcohol usually get it (Ma,1,2016-2017..2016-2017,False
dfc13_dfc7,dfc13_dfc7c,"dfc13_dfc7c. At their own home, how do most kids at your school who drink alcoho",1,2016-2017..2016-2017,False
dfc13_dfc7a,dfc13_dfc7a,"dfc13_dfc7a. At school, how do most kids at your school who drink alcohol usuall",1,2016-2017..2016-2017,False
dfc13_dfc7b,dfc13_dfc7b,"dfc13_dfc7b. At parties or events outside school, how do most kids at your schoo",1,2016-2017..2016-2017,False
dfc13_dfc7d,dfc13_dfc7d,"dfc13_dfc7d. From adults at friends' homes, how do most kids at your school who",1,2016-2017..2016-2017,False
dfc13_dfc7e,dfc13_dfc7e,"dfc13_dfc7e. From friends or another teenager, how do most kids at your school w",1,2016-2017..2016-2017,False
dfc13_dfc7f,dfc13_dfc7f,"dfc13_dfc7f. Get adults to buy it for them, how do most kids at your school who",1,2016-2017..2016-2017,False
